rtt;cp
178,18876;0,0
178,632155;0,0
179,10154;0,0
178,087815;0,0
178,438035;0,0
176,41907;0,0
176,602325;0,0
179,230565;0,0
179,129965;0,0
180,167585;0,0
177,83092;0,0
177,03047;0,0
177,793395;0,0
178,30183;0,0
178,21414;0,0
179,1105;0,0
177,46185;0,0
179,05343;0,0
176,67673;0,0
179,05754;0,0
178,18175;0,0
180,54039;0,0
178,331965;0,0
177,70319;0,0
177,843865;0,0
179,10352;0,0
179,13626;0,0
178,66956;0,0
177,84496;0,0
176,59609;0,0
179,40901;0,0
179,39797;0,0
178,568485;0,0
179,95311;0,0
180,01569;0,0
180,1556;0,0
179,304835;0,0
179,212775;0,0
178,20098;0,0
179,782285;0,0
176,492135;0,0
177,75;0,0
178,434315;0,0
178,78807;0,0
179,88051;0,0
178,6372;0,0
178,271305;0,0
177,84732;0,0
179,603375;0,0
178,048865;0,0
178,08413;0,0
177,331325;0,0
179,67682;0,0
179,33258;0,0
178,492795;0,0
180,15769;0,0
178,996545;0,0
176,182685;0,0
178,422785;0,0
178,97678;0,0
178,169875;0,0
178,20231;0,0
179,147485;0,0
179,513715;0,0
179,560525;0,0
177,89808;0,0
179,06383;0,0
179,4074;0,0
179,253205;0,0
179,757705;0,0
178,146875;0,0
178,27589;0,0
178,4463;0,0
179,05488;0,0
179,623405;0,0
178,412045;0,0
178,417375;0,0
179,779465;0,0
180,20474;0,0
178,404965;0,0
179,3433;0,0
177,818695;0,0
177,98724;0,0
179,45761;0,0
178,630085;0,0
179,186565;0,0
179,7217;0,0
178,44804;0,0
178,751675;0,0
178,966565;0,0
177,735785;0,0
178,02438;0,0
179,287655;0,0
179,784125;0,0
180,03354;0,0
178,48626;0,0
177,170525;0,0
178,76164;0,0
178,53397;0,0
179,83212;0,0
