rtt;cp
173,48242;0,0
173,758;0,0
174,414665;0,0
173,895285;0,0
174,82353;0,0
173,934035;0,0
173,798105;0,0
174,50801;0,0
172,753415;0,0
173,691805;0,0
173,289655;0,0
173,74274;0,0
174,23758;0,0
174,367875;0,0
174,643525;0,0
173,6706;0,0
170,62801;0,0
174,14139;0,0
173,938065;0,0
173,59199;0,0
173,746585;0,0
173,187195;0,0
175,335075;0,0
173,632665;0,0
176,595855;0,0
173,572535;0,0
173,53745;0,0
175,39285;0,0
173,34663;0,0
173,25634;0,0
174,81647;0,0
173,347095;0,0
173,561145;0,0
174,396495;0,0
174,20742;0,0
173,423525;0,0
174,097935;0,0
173,564905;0,0
174,969115;0,0
174,70899;0,0
173,61846;0,0
173,20968;0,0
173,642945;0,0
173,03881;0,0
173,860975;0,0
174,204525;0,0
174,181145;0,0
173,911455;0,0
173,07946;0,0
173,92152;0,0
173,76044;0,0
173,558025;0,0
174,48295;0,0
173,264555;0,0
174,274745;0,0
174,06674;0,0
174,615985;0,0
173,6895;0,0
174,32372;0,0
173,63368;0,0
173,86181;0,0
173,27502;0,0
174,46762;0,0
174,812065;0,0
173,750745;0,0
178,79967;0,0
173,47658;0,0
172,98939;0,0
175,37394;0,0
173,06674;0,0
173,268835;0,0
173,467975;0,0
174,756195;0,0
173,574405;0,0
173,31979;0,0
174,48524;0,0
173,30797;0,0
175,353365;0,0
174,00916;0,0
174,923095;0,0
175,412785;0,0
173,64291;0,0
172,977105;0,0
173,569815;0,0
173,22962;0,0
173,478195;0,0
173,14217;0,0
173,03054;0,0
173,77851;0,0
173,58042;0,0
173,51691;0,0
173,73185;0,0
173,062;0,0
173,715995;0,0
174,02987;0,0
173,339245;0,0
173,062795;0,0
173,62711;0,0
174,144675;0,0
174,446965;0,0
