rtt;cp
68,80494;0,0
68,840235;0,0
68,80405;0,0
68,87806;0,0
68,824165;0,0
68,82591;0,0
68,890295;0,0
68,923635;0,0
68,805815;0,0
68,920005;0,0
68,88277;0,0
68,874185;0,0
68,830695;0,0
68,894475;0,0
68,86676;0,0
68,88265;0,0
68,84801;0,0
68,896155;0,0
68,869565;0,0
68,79828;0,0
68,85658;0,0
68,82727;0,0
68,85584;0,0
68,852915;0,0
68,950065;0,0
68,89618;0,0
68,85224;0,0
68,88869;0,0
68,84327;0,0
68,92311;0,0
68,86436;0,0
68,816055;0,0
68,879895;0,0
68,83294;0,0
68,828155;0,0
68,85995;0,0
68,833685;0,0
68,852095;0,0
68,898865;0,0
68,812365;0,0
68,851615;0,0
68,91189;0,0
68,95358;0,0
68,836355;0,0
68,848965;0,0
73,754985;0,0
68,891045;0,0
68,94673;0,0
68,8592;0,0
68,881095;0,0
68,93648;0,0
68,845775;0,0
68,85112;0,0
68,996265;0,0
68,86425;0,0
68,86818;0,0
68,852495;0,0
68,86768;0,0
68,90945;0,0
68,9604;0,0
68,87713;0,0
68,857315;0,0
68,922075;0,0
68,859385;0,0
68,85357;0,0
68,86463;0,0
68,795375;0,0
68,830735;0,0
68,906775;0,0
68,95104;0,0
68,876975;0,0
68,88976;0,0
68,87018;0,0
68,874725;0,0
68,849945;0,0
68,827965;0,0
68,866565;0,0
68,987995;0,0
68,9183;0,0
68,846775;0,0
68,84243;0,0
68,89911;0,0
68,883505;0,0
68,86383;0,0
68,902935;0,0
68,86434;0,0
68,892515;0,0
68,925605;0,0
68,834505;0,0
68,839495;0,0
68,899115;0,0
68,8575;0,0
68,948445;0,0
68,968995;0,0
69,01993;0,0
68,814955;0,0
68,938845;0,0
69,31911;0,0
68,85186;0,0
68,83976;0,0
68,869245;0,0
68,93306;0,0
68,89271;0,0
68,815605;0,0
68,820225;0,0
69,073405;0,0
68,948225;0,0
68,910675;0,0
69,0366;0,0
68,80976;0,0
68,8744;0,0
68,80649;0,0
68,9033;0,0
68,844715;0,0
68,879045;0,0
68,76765;0,0
68,84549;0,0
68,78827;0,0
68,795385;0,0
68,93382;0,0
68,873895;0,0
68,840365;0,0
68,894845;0,0
68,869125;0,0
68,84846;0,0
68,84226;0,0
68,8877;0,0
68,80335;0,0
68,867515;0,0
68,82559;0,0
68,78138;0,0
68,877245;0,0
68,812505;0,0
68,89107;0,0
68,831935;0,0
68,915055;0,0
68,80901;0,0
68,826425;0,0
68,82629;0,0
68,871515;0,0
68,875945;0,0
68,84752;0,0
68,80266;0,0
68,83459;0,0
68,806245;0,0
68,822225;0,0
68,871685;0,0
68,82812;0,0
68,833035;0,0
69,069495;0,0
68,73619;0,0
68,801605;0,0
68,941115;0,0
68,792695;0,0
68,89734;0,0
68,82375;0,0
68,824425;0,0
68,93565;0,0
68,800085;0,0
68,860115;0,0
68,87611;0,0
68,82303;0,0
68,78846;0,0
68,88935;0,0
68,795925;0,0
68,87224;0,0
68,817155;0,0
68,945545;0,0
68,78909;0,0
68,8328;0,0
68,839525;0,0
68,881275;0,0
68,85298;0,0
68,83849;0,0
69,513645;0,0
68,819;0,0
68,792895;0,0
68,783515;0,0
68,864135;0,0
71,346795;0,0
68,86503;0,0
68,804195;0,0
68,825035;0,0
68,85259;0,0
68,874155;0,0
68,79936;0,0
68,84201;0,0
69,133175;0,0
68,8279;0,0
68,86075;0,0
70,96104;0,0
68,81765;0,0
68,846045;0,0
68,971445;0,0
68,893025;0,0
68,756645;0,0
68,786705;0,0
68,829205;0,0
68,798855;0,0
68,83616;0,0
68,77064;0,0
68,8604;0,0
68,84804;0,0
68,832445;0,0
68,82903;0,0
68,88453;0,0
68,80463;0,0
68,84118;0,0
68,79592;0,0
68,81033;0,0
68,851665;0,0
68,771685;0,0
68,80565;0,0
68,82876;0,0
68,809055;0,0
68,89137;0,0
68,806495;0,0
68,8508;0,0
68,79801;0,0
68,83196;0,0
68,90795;0,0
68,847685;0,0
68,805275;0,0
68,846125;0,0
68,80817;0,0
68,82153;0,0
68,773715;0,0
68,787335;0,0
68,802285;0,0
68,8087;0,0
68,820925;0,0
68,77569;0,0
68,792955;0,0
68,79519;0,0
68,812685;0,0
68,81917;0,0
68,80319;0,0
68,80619;0,0
68,83923;0,0
68,787445;0,0
68,813045;0,0
68,86093;0,0
68,794305;0,0
68,775445;0,0
68,760395;0,0
68,717255;0,0
68,84086;0,0
68,850915;0,0
68,75851;0,0
68,79287;0,0
68,83945;0,0
68,85467;0,0
68,818275;0,0
68,89488;0,0
68,85433;0,0
68,817555;0,0
68,847585;0,0
68,812915;0,0
68,82932;0,0
68,803695;0,0
68,767675;0,0
68,864885;0,0
68,830015;0,0
68,863215;0,0
68,80938;0,0
68,796515;0,0
68,818165;0,0
68,81998;0,0
68,836715;0,0
68,764265;0,0
68,78955;0,0
68,83324;0,0
68,78249;0,0
68,81407;0,0
68,754735;0,0
68,84729;0,0
68,82244;0,0
68,90309;0,0
68,816125;0,0
68,78878;0,0
68,843915;0,0
68,92581;0,0
68,82604;0,0
68,83;0,0
68,87457;0,0
68,8474;0,0
68,78487;0,0
68,87577;0,0
68,77782;0,0
68,7716;0,0
68,784315;0,0
68,820765;0,0
68,86057;0,0
77,62335;0,0
77,525915;0,0
77,594345;0,0
77,60309;0,0
77,58646;0,0
77,69888;0,0
77,55943;0,0
68,807185;0,0
68,790235;0,0
68,76888;0,0
68,885835;0,0
68,87986;0,0
68,78701;0,0
68,873885;0,0
68,82515;0,0
68,808465;0,0
68,8307;0,0
68,77299;0,0
68,83173;0,0
68,88287;0,0
68,850885;0,0
68,88771;0,0
68,91947;0,0
68,822935;0,0
68,8443;0,0
68,889445;0,0
68,84119;0,0
68,85857;0,0
68,86046;0,0
68,83531;0,0
68,95878;0,0
69,085875;0,0
68,79901;0,0
77,63373;0,0
77,534455;0,0
77,55322;0,0
77,624805;0,0
77,60658;0,0
77,57394;0,0
77,53259;0,0
77,58256;0,0
77,54868;0,0
77,57157;0,0
77,59142;0,0
77,583135;0,0
77,596505;0,0
77,52653;0,0
77,574675;0,0
77,6501;0,0
77,574025;0,0
77,520585;0,0
77,66176;0,0
77,634;0,0
68,934055;0,0
68,921225;0,0
68,859585;0,0
68,89874;0,0
68,895615;0,0
68,850775;0,0
68,915915;0,0
68,82599;0,0
68,81211;0,0
68,89065;0,0
68,94148;0,0
68,846545;0,0
68,85393;0,0
68,925815;0,0
68,87033;0,0
68,87773;0,0
68,818435;0,0
68,83345;0,0
68,88285;0,0
68,85418;0,0
68,841615;0,0
68,873235;0,0
68,91735;0,0
68,81837;0,0
68,87692;0,0
68,87552;0,0
68,83984;0,0
68,87783;0,0
68,92398;0,0
68,85364;0,0
68,870415;0,0
68,876185;0,0
68,860505;0,0
68,877945;0,0
68,887135;0,0
68,9164;0,0
68,788585;0,0
69,018125;0,0
68,894225;0,0
68,82876;0,0
68,841375;0,0
68,870665;0,0
68,823765;0,0
68,84591;0,0
68,916375;0,0
68,84805;0,0
68,90593;0,0
68,897975;0,0
68,92575;0,0
68,88988;0,0
68,870385;0,0
68,86663;0,0
68,88459;0,0
68,935885;0,0
68,861815;0,0
69,12637;0,0
68,90581;0,0
68,85391;0,0
68,866525;0,0
68,81485;0,0
69,07193;0,0
68,938895;0,0
68,91018;0,0
69,112245;0,0
68,906635;0,0
68,885695;0,0
68,878715;0,0
68,88385;0,0
68,845115;0,0
68,99699;0,0
68,95676;0,0
68,849755;0,0
68,85857;0,0
68,93207;0,0
69,71404;0,0
68,844875;0,0
68,82514;0,0
68,845895;0,0
68,917955;0,0
69,172365;0,0
68,93922;0,0
68,85356;0,0
68,896695;0,0
69,023655;0,0
68,83453;0,0
68,89234;0,0
68,90051;0,0
68,889465;0,0
69,11618;0,0
68,877105;0,0
68,830055;0,0
68,92051;0,0
78,66242;0,0
72,972835;0,0
69,09445;0,0
68,85638;0,0
68,901585;0,0
73,486875;0,0
68,804935;0,0
69,155895;0,0
69,0308;0,0
68,82021;0,0
68,833515;0,0
68,961865;0,0
68,922345;0,0
69,48325;0,0
68,98052;0,0
69,01133;0,0
68,976595;0,0
68,86522;0,0
69,051215;0,0
68,954145;0,0
68,97576;0,0
68,938405;0,0
68,88605;0,0
68,962695;0,0
68,855935;0,0
68,8964;0,0
68,971485;0,0
68,89316;0,0
69,01862;0,0
68,949005;0,0
68,89437;0,0
68,88369;0,0
68,861465;0,0
68,80891;0,0
68,945485;0,0
69,139205;0,0
68,941835;0,0
68,820925;0,0
69,244675;0,0
68,82877;0,0
69,01645;0,0
68,949425;0,0
68,910835;0,0
68,915835;0,0
68,86269;0,0
69,554975;0,0
69,01548;0,0
70,80742;0,0
68,829445;0,0
68,86492;0,0
68,77895;0,0
68,869115;0,0
68,91726;0,0
68,91307;0,0
68,914535;0,0
68,89976;0,0
68,844285;0,0
68,890375;0,0
68,874835;0,0
69,043685;0,0
68,872095;0,0
68,920585;0,0
