fileName;precision;recall
768.csv;;0
4897.csv;;0
383.csv;;0
4380.csv;;
2005.csv;;0
534.csv;0;0
4845.csv;;
4151.csv;;0
4615.csv;;
1316.csv;;0
853.csv;;0
91.csv;;0
32.csv;0;0
580.csv;;
2651.csv;;0
323.csv;0;0
2792.csv;0.5;0.5
3835.csv;;0
2093.csv;0;0
4882.csv;;
1121.csv;;0
2854.csv;0.5;0.5
1869.csv;;
378.csv;;
1870.csv;;
3487.csv;;
1687.csv;;
4325.csv;;0
4420.csv;;
4707.csv;1.0;1.0
4054.csv;;0
4557.csv;;
1671.csv;;0
2335.csv;;0
1346.csv;;0
2888.csv;;
4785.csv;0;0
2656.csv;;
3241.csv;;0
1110.csv;;
4926.csv;;
2705.csv;;0
256.csv;;0
772.csv;;
2903.csv;0;0
1489.csv;0;0
549.csv;;0
1593.csv;;0
1916.csv;;
3470.csv;;
4155.csv;;0
4052.csv;;
557.csv;;
969.csv;;0
4910.csv;;0
1936.csv;;
471.csv;0;0
4590.csv;;
1666.csv;;
2079.csv;0;0
4153.csv;;
2798.csv;;
3354.csv;;
1851.csv;0;0
2466.csv;;0
1169.csv;0;0
4076.csv;;
1192.csv;;0
4281.csv;;0
3195.csv;;
4383.csv;1.0;1.0
2110.csv;;0
1818.csv;;0
3731.csv;;0
3367.csv;;0
819.csv;;
685.csv;;0
2427.csv;;0
234.csv;0;0
3657.csv;;
4117.csv;0;0
3582.csv;;
4909.csv;0;0
712.csv;;0
1300.csv;;0
4608.csv;1.0;0.5
226.csv;;0
3886.csv;;0
478.csv;0;0
204.csv;;0
28.csv;0;0
3598.csv;0;0
4103.csv;0;0
4431.csv;0;0
138.csv;;
3193.csv;;0
4746.csv;;0
1625.csv;0;0
2045.csv;1.0;1.0
2371.csv;;0
3745.csv;0;0
3641.csv;0;0
4406.csv;0;0
1270.csv;;0
612.csv;1.0;1.0
3157.csv;;
2916.csv;1.0;0.5
3000.csv;;
902.csv;;
4231.csv;;0
774.csv;;0
2594.csv;0;0
4428.csv;;0
4257.csv;;
3371.csv;;0
999.csv;0;0
249.csv;;
1991.csv;;
4408.csv;;0
1122.csv;;0
657.csv;;0
2304.csv;;0
266.csv;;0
3141.csv;0;0
2629.csv;1.0;0.3333333333333333
3898.csv;;
3031.csv;;0
1388.csv;1.0;0.6666666666666666
2709.csv;0;0
1686.csv;;
1443.csv;;0
1217.csv;0;0
426.csv;0;0
2004.csv;;0
4993.csv;;
2666.csv;;
1807.csv;0;0
1129.csv;1.0;0.6666666666666666
3398.csv;;0
1603.csv;0;0
2864.csv;;
2398.csv;;0
2715.csv;;0
2834.csv;;
582.csv;;
1608.csv;;0
2428.csv;;0
1571.csv;;0
3737.csv;;
4378.csv;0;0
314.csv;;0
380.csv;;0
2886.csv;0;0
3018.csv;;
1863.csv;0;0
4396.csv;;
3145.csv;;0
1022.csv;0.5;0.25
2348.csv;;0
4564.csv;;0
4580.csv;0;0
2994.csv;;0
4481.csv;0.5;0.5
742.csv;;0
3380.csv;;0
242.csv;;0
4385.csv;;0
3940.csv;;0
2810.csv;;0
1211.csv;0;0
976.csv;1.0;1.0
3903.csv;;0
704.csv;;0
3589.csv;;
2619.csv;;0
1881.csv;;0
1992.csv;;
664.csv;;0
3955.csv;1.0;0.6666666666666666
641.csv;;
662.csv;;0
4508.csv;;0
865.csv;;0
4302.csv;;
3786.csv;;
3974.csv;0;0
2201.csv;;
3585.csv;;
4400.csv;;0
3343.csv;;
3772.csv;;0
3179.csv;;0
2964.csv;0.5;0.3333333333333333
184.csv;;0
2035.csv;;0
4213.csv;0;0
870.csv;;
1417.csv;;
3212.csv;;0
1103.csv;1.0;1.0
2600.csv;1.0;0.4
2293.csv;;0
2324.csv;;0
735.csv;1.0;1.0
2294.csv;;
4627.csv;1.0;0.6666666666666666
1155.csv;1.0;0.3333333333333333
996.csv;0;0
3687.csv;0.5;0.5
1081.csv;;
3364.csv;;0
2554.csv;0;0
317.csv;0.5;0.25
3229.csv;;
328.csv;;0
4142.csv;;0
2499.csv;0;0
1987.csv;;0
2873.csv;1.0;1.0
4934.csv;;
3260.csv;;
763.csv;0;0
4982.csv;1.0;0.6666666666666666
3042.csv;0;0
1677.csv;0;0
3345.csv;;0
2204.csv;0;0
4977.csv;;0
4890.csv;;0
2394.csv;;0
1477.csv;;
123.csv;1.0;1.0
3533.csv;1.0;0.5
408.csv;;0
3556.csv;0;0
2276.csv;0.5;0.25
923.csv;;
1771.csv;;0
2085.csv;;0
1374.csv;;0
2386.csv;0;0
2734.csv;;
4349.csv;;0
4109.csv;;0
4154.csv;0;0
448.csv;0.5;0.25
1146.csv;;
2485.csv;0;0
2859.csv;0;0
4880.csv;;
3625.csv;0.5;0.25
463.csv;;0
4793.csv;;
3614.csv;;
3794.csv;0;0
2062.csv;;
238.csv;0;0
4549.csv;;0
2325.csv;;0
1348.csv;;0
617.csv;0;0
3353.csv;;0
2945.csv;;0
4033.csv;;
2198.csv;;0
3500.csv;;
3872.csv;0.5;0.2
3957.csv;;0
4314.csv;0;0
1797.csv;;0
1053.csv;;0
2977.csv;;
899.csv;;0
3825.csv;0;0
236.csv;0;0
1926.csv;1.0;0.3333333333333333
2162.csv;1.0;0.3333333333333333
785.csv;0;0
411.csv;;0
4333.csv;;0
4753.csv;;0
4668.csv;;
1226.csv;;
53.csv;0;0
4171.csv;;0
1962.csv;;
3094.csv;;
1905.csv;;
2256.csv;;0
2590.csv;;0
584.csv;;0
1622.csv;;
441.csv;;0
773.csv;;0
4290.csv;;0
3736.csv;;0
2275.csv;;
3423.csv;;0
3352.csv;0;0
2048.csv;1.0;1.0
1306.csv;;
1531.csv;0;0
3447.csv;;0
858.csv;;0
4214.csv;0;0
146.csv;0.5;0.2
3310.csv;0;0
1409.csv;;
3270.csv;;0
4634.csv;;0
278.csv;0;0
2253.csv;0.5;0.2
3631.csv;;
4951.csv;;0
1517.csv;;0
2640.csv;;0
2042.csv;;
1944.csv;;0
2300.csv;0;0
429.csv;0;0
1222.csv;;
4044.csv;0;0
2606.csv;;
2268.csv;;0
4165.csv;;
2000.csv;;
3495.csv;;0
4622.csv;;0
280.csv;0;0
1058.csv;;0
4603.csv;;
1250.csv;;
765.csv;;0
3923.csv;0;0
2449.csv;;0
4256.csv;0;0
1224.csv;0;0
4429.csv;1.0;1.0
4312.csv;1.0;0.4
2559.csv;0;0
3947.csv;0;0
3723.csv;1.0;1.0
397.csv;1.0;1.0
469.csv;;
920.csv;;
4959.csv;0;0
4767.csv;;0
4915.csv;;
1324.csv;1.0;1.0
2505.csv;;
566.csv;0;0
79.csv;;
3315.csv;0;0
545.csv;;0
37.csv;0;0
1354.csv;1.0;0.6666666666666666
4147.csv;0;0
3294.csv;;0
2186.csv;;0
4435.csv;;
4997.csv;0;0
828.csv;;
3748.csv;;
3400.csv;0;0
27.csv;0.5;0.5
532.csv;;0
1495.csv;;0
3491.csv;;0
1724.csv;;0
3355.csv;;
3098.csv;;
2330.csv;;
1408.csv;;
2076.csv;0;0
4548.csv;;0
1320.csv;;0
1426.csv;1.0;1.0
414.csv;1.0;1.0
3135.csv;;0
1788.csv;;
3246.csv;1.0;0.5
1997.csv;;
4505.csv;;
1643.csv;;0
1827.csv;;0
159.csv;;
2097.csv;;0
3474.csv;;0
2133.csv;0;0
3107.csv;;
413.csv;0.5;0.25
602.csv;0.5;0.5
2003.csv;;0
667.csv;0;0
3639.csv;;
4817.csv;;0
3832.csv;0;0
2288.csv;;0
3339.csv;;
161.csv;;
4018.csv;0;0
1457.csv;0;0
3576.csv;;
1866.csv;;
1297.csv;;
4504.csv;;
3279.csv;0;0
682.csv;;0
1020.csv;;0
1474.csv;;0
4205.csv;;0
4104.csv;;0
68.csv;;
1971.csv;0;0
547.csv;;
1332.csv;0;0
4379.csv;;0
575.csv;;
3837.csv;;
974.csv;;0
4501.csv;0;0
683.csv;;0
3851.csv;;0
4167.csv;0.5;0.3333333333333333
2022.csv;0.5;0.5
431.csv;;
4217.csv;;0
2845.csv;1.0;0.6666666666666666
4949.csv;0;0
4952.csv;;0
2985.csv;;0
2346.csv;0;0
4484.csv;;
1784.csv;0.5;0.3333333333333333
3842.csv;;0
4881.csv;;
4851.csv;0;0
3427.csv;1.0;1.0
4359.csv;;0
4889.csv;;0
871.csv;0.5;0.3333333333333333
4061.csv;;0
1260.csv;;
1381.csv;;0
1282.csv;;
1220.csv;;0
928.csv;1.0;1.0
255.csv;;
4059.csv;;0
1116.csv;1.0;0.6666666666666666
4686.csv;;
1253.csv;;0
717.csv;0;0
1691.csv;;0
1043.csv;;0
122.csv;;0
1568.csv;;0
4546.csv;0.5;0.16666666666666666
2783.csv;0.5;0.5
1238.csv;0;0
1178.csv;0;0
1786.csv;0;0
793.csv;;0
1820.csv;;
2171.csv;1.0;1.0
4415.csv;;
2380.csv;;
313.csv;;0
3304.csv;;0
4189.csv;0;0
1218.csv;0;0
2513.csv;;0
4114.csv;0;0
2560.csv;1.0;0.5
1350.csv;;0
4387.csv;;
512.csv;1.0;1.0
3756.csv;;0
2905.csv;1.0;0.5
948.csv;;
4723.csv;;0
1268.csv;;
2931.csv;;0
1372.csv;;0
4268.csv;0.5;0.2
4813.csv;;0
4547.csv;0;0
3970.csv;;0
4388.csv;1.0;0.2
4512.csv;;0
1526.csv;;0
2007.csv;;0
2531.csv;;0
3878.csv;;0
2260.csv;0;0
2997.csv;;0
399.csv;;0
593.csv;0;0
3960.csv;;
3812.csv;;
2199.csv;1.0;0.3333333333333333
4700.csv;0;0
4829.csv;;0
1470.csv;0;0
1615.csv;;0
1646.csv;;0
1508.csv;0.5;0.5
128.csv;;0
4800.csv;1.0;0.2
2235.csv;0;0
2730.csv;;0
194.csv;;
3771.csv;0;0
3155.csv;;0
903.csv;;0
3888.csv;0;0
938.csv;;
4559.csv;;
4107.csv;;0
2319.csv;1.0;1.0
475.csv;0;0
695.csv;0;0
2615.csv;;
4946.csv;;0
3497.csv;;
4308.csv;;0
4037.csv;;0
2550.csv;;
1843.csv;;
4097.csv;0;0
1641.csv;;0
4269.csv;;
2018.csv;;0
1208.csv;1.0;1.0
294.csv;1.0;1.0
1805.csv;;
3640.csv;;
3102.csv;1.0;1.0
3577.csv;;
4327.csv;0;0
1860.csv;;
1665.csv;;0
3261.csv;;
3164.csv;;0
852.csv;;0
3606.csv;0;0
1296.csv;1.0;1.0
1154.csv;;0
811.csv;0;0
3311.csv;0;0
4873.csv;;0
4301.csv;;
2328.csv;0.5;0.5
783.csv;;0
423.csv;;
775.csv;;
4286.csv;;
368.csv;;
3975.csv;0;0
2697.csv;;0
3344.csv;0;0
2555.csv;1.0;1.0
3616.csv;;
2196.csv;0;0
3177.csv;;0
3089.csv;;0
1478.csv;;
939.csv;;0
4685.csv;;0
1737.csv;;0
2625.csv;;0
3991.csv;;0
821.csv;;
3509.csv;;0
4938.csv;0;0
2245.csv;;
790.csv;1.0;1.0
606.csv;0;0
1951.csv;;
119.csv;;
437.csv;;0
409.csv;;
2331.csv;0;0
2638.csv;0;0
2570.csv;;0
709.csv;;
564.csv;;0
1247.csv;;0
2506.csv;;0
1428.csv;;0
4632.csv;;0
3113.csv;;
1057.csv;;
510.csv;0;0
1742.csv;1.0;0.5
1420.csv;1.0;0.5
3468.csv;0;0
2998.csv;1.0;0.5
2233.csv;;0
863.csv;;0
3845.csv;;
2021.csv;1.0;0.6666666666666666
3681.csv;;0
4979.csv;;0
1580.csv;1.0;1.0
1664.csv;;
2425.csv;;0
2958.csv;;
2024.csv;;0
2757.csv;0;0
987.csv;0;0
4447.csv;;
3436.csv;;
968.csv;;0
4645.csv;;0
2840.csv;0;0
82.csv;0.5;0.5
3698.csv;;
4566.csv;;
3979.csv;;0
4573.csv;;0
3668.csv;0.5;0.25
2492.csv;;
4532.csv;;0
2965.csv;;
703.csv;;0
2318.csv;;0
3525.csv;;
814.csv;;
4912.csv;0.5;0.25
191.csv;;
1254.csv;;0
4539.csv;0;0
4721.csv;;
500.csv;;
4891.csv;;
3210.csv;;
3220.csv;;
4289.csv;;0
2033.csv;;0
4207.csv;;0
4830.csv;;
4619.csv;0;0
3919.csv;;
3147.csv;;0
1060.csv;;
2538.csv;0;0
3005.csv;;0
3172.csv;;0
4234.csv;;0
1137.csv;0;0
4601.csv;;0
357.csv;0.5;1.0
2943.csv;;0
991.csv;;
3337.csv;0;0
985.csv;;0
3824.csv;;
651.csv;;0
1910.csv;;
2819.csv;;0
4298.csv;;
998.csv;0;0
3404.csv;;
592.csv;;0
3608.csv;;0
1124.csv;0;0
1800.csv;1.0;1.0
3289.csv;;0
3451.csv;;0
2935.csv;0;0
759.csv;;
2777.csv;;0
2923.csv;;0
2563.csv;;0
1406.csv;;0
1161.csv;;
4082.csv;0;0
2831.csv;;0
2665.csv;;
440.csv;;0
3879.csv;;0
4558.csv;;0
4761.csv;1.0;0.5
1874.csv;;0
1876.csv;0;0
3478.csv;0;0
528.csv;;
1895.csv;0;0
2605.csv;;0
4810.csv;0;0
905.csv;1.0;0.5
4935.csv;;0
4583.csv;0;0
2815.csv;;
332.csv;0;0
38.csv;0;0
