epoch;rtt;cp
2016-10-13 01:48:56;82.6810807268;0
2016-10-13 01:52:56;82.7734763513;0
2016-10-13 01:56:56;83.0743889416;0
2016-10-13 02:00:56;83.324386937;0
2016-10-13 02:04:56;82.6954382409;0
2016-10-13 02:08:56;83.2200912043;0
2016-10-13 02:12:56;82.9295596277;0
2016-10-13 02:16:56;83.0784040326;0
2016-10-13 02:20:56;82.6981783992;0
2016-10-13 02:24:56;82.9408944411;0
2016-10-13 02:28:56;82.908664842;0
2016-10-13 02:32:56;82.7513969739;0
2016-10-13 02:36:56;82.9026361459;0
2016-10-13 02:40:56;83.0766940423;0
2016-10-13 02:44:56;83.0579188119;0
2016-10-13 02:48:56;83.1120953305;0
2016-10-13 02:52:56;82.8876840858;0
2016-10-13 02:56:56;83.3085672622;0
2016-10-13 03:00:56;82.6895709549;0
2016-10-13 03:04:56;82.8869940682;0
2016-10-13 03:08:56;82.9648380181;0
2016-10-13 03:12:56;83.4244190758;0
2016-10-13 03:16:56;82.8915369441;0
2016-10-13 03:20:56;83.4247517801;0
2016-10-13 03:24:56;83.0356477397;0
2016-10-13 03:28:56;82.9119247865;0
2016-10-13 03:32:56;82.7287431676;0
2016-10-13 03:36:56;82.844086106;0
2016-10-13 03:40:56;82.6659477107;0
2016-10-13 03:44:56;82.7906940015;0
2016-10-13 03:48:56;82.6752033619;0
2016-10-13 03:52:56;82.8886815679;0
2016-10-13 03:56:56;82.863408643;0
2016-10-13 04:00:56;83.0827950081;0
2016-10-13 04:04:56;82.7003187547;0
2016-10-13 04:08:56;82.7635385546;0
2016-10-13 04:12:56;82.7075201031;0
2016-10-13 04:16:56;82.8760637582;0
2016-10-13 04:20:56;82.7215983669;0
2016-10-13 04:24:56;82.9513760257;0
2016-10-13 04:28:56;82.9859128085;0
2016-10-13 04:32:56;82.6769668683;0
2016-10-13 04:36:56;82.884492223;0
2016-10-13 04:40:56;82.6815299643;0
2016-10-13 04:44:56;82.6946730997;0
2016-10-13 04:48:56;83.0324010479;0
2016-10-13 04:52:56;83.1012265629;0
2016-10-13 04:56:56;82.6734727372;0
2016-10-13 05:00:56;83.0281604781;0
2016-10-13 05:04:56;82.7471052945;0
2016-10-13 05:08:56;82.7724375721;0
2016-10-13 05:12:56;82.8294607009;0
2016-10-13 05:16:56;83.6862752696;0
2016-10-13 05:20:56;83.2092765516;0
2016-10-13 05:24:56;83.2518038035;0
2016-10-13 05:28:56;82.6947191914;0
2016-10-13 05:32:56;82.6749630162;0
2016-10-13 05:36:56;82.8659154571;0
2016-10-13 05:40:56;82.8453972103;0
2016-10-13 05:44:56;82.823911225;0
2016-10-13 05:48:56;83.0820386334;0
2016-10-13 05:52:56;82.705940685;0
2016-10-13 05:56:56;82.9654318122;0
2016-10-13 06:00:56;82.7964979521;0
2016-10-13 06:04:56;82.7177869403;0
2016-10-13 06:08:56;83.2957412038;0
2016-10-13 06:12:56;82.8257334803;0
2016-10-13 06:16:56;83.3737748598;0
2016-10-13 06:20:56;83.081256653;0
2016-10-13 06:24:56;82.8372627289;0
2016-10-13 06:28:56;83.518705941;0
2016-10-13 06:32:56;82.9567195308;0
2016-10-13 06:36:56;82.666251282;0
2016-10-13 06:40:56;82.7085255924;0
2016-10-13 06:44:56;82.7030213836;0
2016-10-13 06:48:56;83.0114543394;0
2016-10-13 06:52:56;82.8038195662;0
2016-10-13 06:56:56;82.6839476964;0
2016-10-13 07:00:56;82.8212326066;0
2016-10-13 07:04:56;83.3132372124;0
2016-10-13 07:08:56;83.0503446058;0
2016-10-13 07:12:56;82.7138014157;0
2016-10-13 07:16:56;83.6111604112;0
2016-10-13 07:20:56;83.3049812556;0
2016-10-13 07:24:56;82.8154682968;0
2016-10-13 07:28:56;82.8830768477;0
2016-10-13 07:32:56;82.740768958;0
2016-10-13 07:36:56;82.9279188044;0
2016-10-13 07:40:56;82.9195450552;0
2016-10-13 07:44:56;83.0277453494;0
2016-10-13 07:48:56;82.9563827368;0
2016-10-13 07:52:56;82.8128298343;0
2016-10-13 07:56:56;83.6286346624;0
2016-10-13 08:00:56;82.7337625176;0
2016-10-13 08:04:56;83.015732321;0
2016-10-13 08:08:56;82.7589491864;0
2016-10-13 08:12:56;83.1756115852;0
2016-10-13 08:16:56;83.0408328159;0
2016-10-13 08:20:56;82.809434391;0
2016-10-13 08:24:56;82.7009771488;0
2016-10-13 08:28:56;82.895994408;0
2016-10-13 08:32:56;82.8734213655;0
2016-10-13 08:36:56;83.5129371241;0
2016-10-13 08:40:56;82.7426581959;0
2016-10-13 08:44:56;82.7289708482;0
2016-10-13 08:48:56;83.1924005641;0
2016-10-13 08:52:56;83.6974619896;0
2016-10-13 08:56:56;82.8425407674;0
2016-10-13 09:00:56;82.9404882058;0
2016-10-13 09:04:56;84.1153478609;0
2016-10-13 09:08:56;83.091777535;0
2016-10-13 09:12:56;82.7686233646;0
2016-10-13 09:16:56;82.6940103131;0
2016-10-13 09:20:56;83.0025622084;0
2016-10-13 09:24:56;82.7299612273;0
2016-10-13 09:28:56;82.7248432066;0
2016-10-13 09:32:56;82.6730785966;0
2016-10-13 09:36:56;83.1152553656;0
2016-10-13 09:40:56;83.1636602657;0
2016-10-13 09:44:56;82.7848429443;0
2016-10-13 09:48:56;82.7050286834;0
2016-10-13 09:52:56;83.0967199121;0
2016-10-13 09:56:56;82.9428675597;0
2016-10-13 10:00:56;82.8800232546;0
2016-10-13 10:04:56;83.6605582615;0
2016-10-13 10:08:56;83.0197495581;0
2016-10-13 10:12:56;83.2714189798;0
2016-10-13 10:16:56;82.8185697695;0
2016-10-13 10:20:56;82.7557677834;0
