fileName;precision;recall
1719.csv;;0
2058.csv;1.0;0.02
2955.csv;1.0;0.03
2737.csv;;0
1655.csv;1.0;0.02
4120.csv;;0
3381.csv;;0
4374.csv;;0
4461.csv;1.0;0.03
4901.csv;;0
4849.csv;1.0;0.01
3037.csv;;0
3869.csv;1.0;0.01
2574.csv;;0
2796.csv;;0
221.csv;1.0;0.02
2180.csv;;0
3537.csv;;0
877.csv;1.0;0.02
941.csv;;0
158.csv;1.0;0.01
4176.csv;1.0;0.02
945.csv;1.0;0.01
1189.csv;;0
2176.csv;1.0;0.01
4985.csv;1.0;0.01
1041.csv;;0
374.csv;;0
1479.csv;;0
2628.csv;1.0;0.02
508.csv;1.0;0.02
150.csv;1.0;0.05
1452.csv;1.0;0.01
4081.csv;1.0;0.02
2967.csv;1.0;0.03
2635.csv;;0
44.csv;;0
2029.csv;1.0;0.02
3396.csv;1.0;0.01
2067.csv;1.0;0.01
3425.csv;1.0;0.03
3892.csv;;0
3708.csv;;0
4367.csv;1.0;0.01
4714.csv;;0
3382.csv;1.0;0.01
1873.csv;;0
4169.csv;1.0;0.01
2382.csv;1.0;0.03
1940.csv;1.0;0.02
2072.csv;;0
3215.csv;1.0;0.02
1386.csv;1.0;0.05
4395.csv;;0
3798.csv;1.0;0.01
2321.csv;;0
1456.csv;1.0;0.03
4222.csv;;0
1067.csv;1.0;0.01
3990.csv;;0
780.csv;;0
768.csv;1.0;0.03
4897.csv;1.0;0.04
383.csv;1.0;0.01
4380.csv;;0
2005.csv;1.0;0.01
534.csv;1.0;0.01
4845.csv;;0
4151.csv;;0
4615.csv;;0
1316.csv;1.0;0.01
853.csv;1.0;0.01
91.csv;1.0;0.01
32.csv;1.0;0.01
580.csv;;0
2651.csv;1.0;0.01
323.csv;1.0;0.01
2792.csv;1.0;0.01
3835.csv;;0
2093.csv;1.0;0.02
4882.csv;;0
1121.csv;1.0;0.01
2854.csv;1.0;0.01
1869.csv;;0
378.csv;;0
1870.csv;;0
3487.csv;;0
1687.csv;;0
4325.csv;1.0;0.02
4420.csv;;0
4707.csv;1.0;0.02
4054.csv;;0
4557.csv;;0
1671.csv;1.0;0.01
2335.csv;1.0;0.02
1346.csv;1.0;0.03
2888.csv;;0
4785.csv;1.0;0.02
2656.csv;;0
3241.csv;1.0;0.01
1110.csv;;0
4926.csv;;0
2705.csv;1.0;0.02
256.csv;;0
772.csv;;0
2903.csv;1.0;0.01
1489.csv;1.0;0.02
549.csv;1.0;0.02
1593.csv;1.0;0.04
1916.csv;1.0;0.01
3470.csv;;0
4155.csv;1.0;0.01
4052.csv;;0
557.csv;;0
969.csv;;0
4910.csv;;0
1936.csv;;0
471.csv;1.0;0.03
4590.csv;;0
1666.csv;;0
2079.csv;1.0;0.01
4153.csv;;0
2798.csv;;0
3354.csv;;0
1851.csv;1.0;0.01
2466.csv;;0
1169.csv;1.0;0.02
4076.csv;;0
1192.csv;;0
4281.csv;1.0;0.01
3195.csv;;0
4383.csv;1.0;0.02
2110.csv;1.0;0.01
1818.csv;1.0;0.04
3731.csv;;0
3367.csv;1.0;0.01
819.csv;;0
685.csv;1.0;0.03
2427.csv;1.0;0.02
234.csv;;0
3657.csv;;0
4117.csv;1.0;0.02
3582.csv;;0
4909.csv;1.0;0.02
712.csv;1.0;0.01
1300.csv;1.0;0.01
4608.csv;1.0;0.01
226.csv;1.0;0.02
3886.csv;;0
478.csv;1.0;0.01
204.csv;1.0;0.01
28.csv;;0
3598.csv;1.0;0.01
4103.csv;1.0;0.01
4431.csv;1.0;0.01
138.csv;;0
3193.csv;1.0;0.01
4746.csv;1.0;0.01
1625.csv;1.0;0.03
2045.csv;1.0;0.02
2371.csv;1.0;0.01
3745.csv;;0
3641.csv;1.0;0.01
4406.csv;1.0;0.02
1270.csv;1.0;0.02
612.csv;1.0;0.01
3157.csv;;0
2916.csv;1.0;0.02
3000.csv;;0
902.csv;;0
4231.csv;;0
774.csv;1.0;0.03
2594.csv;1.0;0.01
4428.csv;;0
4257.csv;;0
3371.csv;1.0;0.04
999.csv;;0
249.csv;;0
1991.csv;;0
4408.csv;;0
1122.csv;1.0;0.01
657.csv;1.0;0.02
2304.csv;1.0;0.02
266.csv;1.0;0.02
3141.csv;1.0;0.02
2629.csv;1.0;0.03
3898.csv;;0
3031.csv;1.0;0.01
1388.csv;1.0;0.03
2709.csv;1.0;0.02
1686.csv;;0
1443.csv;1.0;0.01
1217.csv;1.0;0.01
426.csv;1.0;0.01
2004.csv;1.0;0.01
4993.csv;;0
2666.csv;;0
1807.csv;1.0;0.02
1129.csv;1.0;0.02
3398.csv;1.0;0.02
1603.csv;;0
2864.csv;;0
2398.csv;1.0;0.03
2715.csv;1.0;0.03
2834.csv;;0
582.csv;;0
1608.csv;;0
2428.csv;1.0;0.05
1571.csv;1.0;0.04
3737.csv;;0
4378.csv;1.0;0.01
314.csv;1.0;0.01
380.csv;1.0;0.02
2886.csv;1.0;0.02
3018.csv;;0
1863.csv;;0
4396.csv;;0
3145.csv;;0
1022.csv;1.0;0.03
2348.csv;;0
4564.csv;1.0;0.02
4580.csv;;0
2994.csv;1.0;0.01
4481.csv;1.0;0.02
742.csv;;0
3380.csv;1.0;0.05
242.csv;1.0;0.01
4385.csv;1.0;0.01
3940.csv;;0
2810.csv;;0
